Компания;Владелец счета;Дата счета;Дата погашения;Номер счета;Сумма
Русснефть;Олег Гордеев (и. о. президента);2002;09/30/2021 09:28:55;54038;2 702,00
МегаФон;Сергей Солдатенков;2002;09/30/2021 09:28:55;88983;4 613,00
Эльдорадо (сеть магазинов);Игорь Яковлев;1994;09/30/2021 09:28:55;58957;115,00
Евросеть;Александр Малис;1997;09/30/2021 09:28:55;13034;3 522,00
Объединенная металлургическая компания;Владимир Маркин;1992;09/30/2021 09:28:55;74890;1 731,00
Группа «» СОК;Алексей Савченков;1994;09/30/2021 09:28:55;59021;3 041,00
Рольф;Мэтт Доннелли;1991;09/30/2021 09:28:55;38851;2 624,00
СИА Интернейшнл;Игорь Рудинский;1995;09/30/2021 09:28:55;79385;410,00
Мегаполис (компания);Сергей Кациев;1998;09/30/2021 09:28:55;59385;1 697,00
СУЭК;Владимир Рашевский;2001;09/30/2021 09:28:55;62959;2 452,00
Группа компаний «» Протек;Вадим Музяев;1990;09/30/2021 09:28:55;76703;1 789,00
Группа ЧТПЗ;Виталий Садыков;2002;09/30/2021 09:28:55;45589;3 209,00
SNS;Олег Смирнов;1992;09/30/2021 09:28:55;45421;2 140,00
Русская медная компания;Всеволод Левин;2004;09/30/2021 09:28:55;91292;2 238,00
Трансмашхолдинг;Петр Синьшов;2002;09/30/2021 09:28:55;10467;1 626,00
УГМК;Андрей Козицын;1999;09/30/2021 09:28:55;29356;1 399,00
ГК «» ТАИФ;Альберт Шигабутдинов;1995;09/30/2021 09:28:55;74136;2 822,00
Металлоинвест;Максим Губиев;2004;09/30/2021 09:28:55;34484;704,00
Группа ГАЗ;Эрик Эберхардсон;2005;09/30/2021 09:28:55;44858;5 441,00
